id,title,year,imdb_id,tmdb_id
1874486,Predator: Killer of Killers,2025,tt36463894,1376434
1615420,Bullet Train,2022,tt12593682,718930
1583908,The Menu,2022,tt9764362,593643
1515072,Uncharted,2022,tt1464335,335787
1650358,Barbarian,2022,tt15791034,913290
1623260,Prey,2022,tt11866324,766507
1649223,Missing,2023,tt10855768,768362
1620896,A Man Called Otto,2022,tt7405458,937278
1568066,Triangle of Sadness,2022,tt7322224,497828
194978,Death on the Nile,2022,tt7657566,505026
1620816,The Lost City,2022,tt13320622,752623
1607086,Scream,2022,tt11245972,646385
1695454,A Real Pain,2024,tt21823606,1013850
1607052,Where the Crawdads Sing,2022,tt9411972,682507
1596439,A Complete Unknown,2024,tt11563598,661539
1137596,Ford v Ferrari,2019,tt1950186,359724
1709096,The Monkey,2025,tt27714946,1124620
1704323,The Amateur,2025,tt0899043,1087891
1452255,Us,2019,tt6857112,458723
1193410,John Wick: Chapter 3 - Parabellum,2019,tt6146586,458156
1616827,Sonic the Hedgehog 2,2022,tt12412888,675353
1515637,A Quiet Place Part II,2021,tt8332922,520763
1139767,Free Solo,2018,tt7775622,515042
122224,Alita: Battle Angel,2019,tt0437086,399579
1824277,Anora,2024,tt28607951,1064213
1685795,Sisu,2022,tt14846026,840326
1678919,Alien: Romulus,2024,tt18412256,945961
1617958,Operation Fortune: Ruse de Guerre,2023,tt7985704,739405
1599569,Amsterdam,2022,tt10304142,664469
1590821,Wrath of Man,2021,tt11083552,637649
1703651,Longlegs,2024,tt23468450,1226578
1634185,"Good Luck to You, Leo Grande",2022,tt13352968,758330
1586499,Another Round,2020,tt10288566,580175
1582601,Palm Springs,2020,tt9484998,587792
1559109,Ready or Not,2019,tt7798634,567609
1500837,The King's Man,2021,tt6856242,476669
1106882,Doctor Sleep,2019,tt5606664,501170
1425554,The Upside,2019,tt1987680,440472
1407015,The Meg,2018,tt4779682,345940
1472956,Dark Phoenix,2019,tt6565702,320288
1632764,Poor Things,2023,tt14230458,792307
1625789,Fresh,2022,tt13403046,787752
1615842,The Woman King,2022,tt8093700,724495
1579870,John Wick: Chapter 4,2023,tt10366206,603692
1620762,Living,2022,tt9051908,760099
1413220,The Predator,2018,tt3829266,346910
1157199,Halloween,2018,tt1502407,424139
1807525,Trap,2024,tt26753003,1032823
1685813,Late Night with the Devil,2024,tt14966898,938614
1587823,Deep Water,2022,tt2180339,619979
1691476,BlackBerry,2023,tt21867434,1016084
1649174,No Hard Feelings,2023,tt15671028,884605
1624317,Decision to Leave,2022,tt12477480,705996
1623689,See How They Run,2022,tt13640696,766475
1608538,The Creator,2023,tt11858890,670292
1512556,Run,2020,tt8633478,546121
1679684,Anatomy of a Fall,2023,tt17009710,915935
1615221,Evil Dead Rise,2023,tt13345606,713704
1448402,Underwater,2020,tt5774060,443791
1397755,The House That Jack Built,2018,tt4003440,398173
1162637,Hellboy,2019,tt2274648,456740
110972,A Simple Favor,2018,tt7040874,484247
1681576,The Equalizer 3,2023,tt17024450,926393
1472957,X-Men: Days of Future Past,2014,tt1877832,127585
1472159,World War Z,2013,tt0816711,72190
1309360,Prometheus,2012,tt1446714,70981
1205327,Kingsman: The Secret Service,2015,tt2802144,207703
1193411,John Wick: Chapter 2,2017,tt4425200,324552
1193409,John Wick,2014,tt2911666,245891
1695306,A Haunting in Venice,2023,tt22687790,945729
1687028,Gran Turismo,2023,tt4495098,980489
158310,Boss Level,2021,tt7638348,513310
1418000,The Secret Life of Walter Mitty,2013,tt0359950,116745
1382182,The Cabin in the Woods,2012,tt1259521,22970
165399,Call Me by Your Name,2017,tt5726616,398818
122082,Alien: Covenant,2017,tt2316204,126889
1579103,Spiral: From the Book of Saw,2021,tt10342730,602734
1534422,Monster Hunter,2020,tt6475714,458576
1323046,Rio,2011,tt1436562,46195
1170344,Hotel Transylvania,2012,tt0837562,76492
1424747,The Twilight Saga: Breaking Dawn - Part 2,2012,tt1673434,50620
1424746,The Twilight Saga: Breaking Dawn - Part 1,2011,tt1324999,50619
1377978,The Babadook,2014,tt2321549,242224
1369865,Taken 2,2012,tt1397280,82675
1348986,Sinister,2012,tt1922777,82507
158934,Boyhood,2014,tt1065073,85350
1700493,Memoir of a Snail,2024,tt23770030,1064486
1686691,The Pope's Exorcist,2023,tt13375076,758323
1618201,65,2023,tt12261776,700391
1583831,Meg 2: The Trench,2023,tt9224104,615656
1409759,The Nightingale,2018,tt4068576,400090
1240624,Madagascar 3: Europe's Most Wanted,2012,tt1277953,80321
1239748,Ma,2019,tt7958736,502416
1147274,Ghostbusters,2016,tt1289401,43074
1790790,Small Things Like These,2024,tt27196021,1102493
1710418,Perfect Days,2023,tt27503384,976893
1108602,Donnie Darko,2001,tt0246578,141
155795,Blue Jasmine,2013,tt2334873,160588
1387349,The Devil Wears Prada,2006,tt0458352,350
1443408,Twilight,2008,tt1099212,8966
1398391,The Ides of March,2011,tt1124035,10316
1396704,The Heat,2013,tt2404463,136795
1375720,The 40 Year Old Virgin,2005,tt0405422,6957
1369864,Taken,2008,tt0936501,8681
1334913,Saw,2004,tt0387564,176
1250278,Mean Girls,2004,tt0377092,10625
1240622,Madagascar,2005,tt0351283,953
1203399,Kick-Ass,2010,tt1250777,23483
1176749,Ice Age,2002,tt0268380,425
1176450,"I, Robot",2004,tt0343818,2048
1126676,Evil Dead,2013,tt1288558,109428
1105826,District 9,2009,tt1136608,17654
153435,Black Swan,2010,tt0947798,44214
117973,After Earth,2013,tt1815862,82700
1682522,The Nun II,2023,tt10160976,968051
1398447,The Illusionist,2006,tt0443543,1491
1413922,The Proposal,2009,tt1041829,18240
1386407,The Day After Tomorrow,2004,tt0319262,435
1347464,Signs,2002,tt0286106,2675
1297829,Pearl Harbor,2001,tt0213149,676
1274508,Night at the Museum,2006,tt0477347,1593
1231765,Live Free or Die Hard,2007,tt0337978,1571
1195808,Juno,2007,tt0467406,7326
1170345,Hotel Transylvania 2,2015,tt2510894,159824
177750,Click,2006,tt0389860,9339
159521,Brawl in Cell Block 99,2017,tt5657856,398175
157757,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,tt0443453,496
155792,Blue Is the Warmest Color,2013,tt2278871,152584
136610,Atomic Blonde,2017,tt2406566,341013
131923,Apocalypto,2006,tt0472043,1579
12813,28 Weeks Later,2007,tt0463854,1562
12356,2012,2009,tt1190080,14161
1789916,Oddity,2024,tt26470109,1216191
1731888,No One Will Save You,2023,tt14509110,820609
