id,title,year,imdb_id,tmdb_id
1703330,Superman,2025,tt5950044,1061474
1783110,Sinners,2025,tt31193180,1233413
1532981,The Batman,2022,tt1877830,414906
1718402,Heretic,2024,tt28015403,1138194
1653388,Mickey 17,2025,tt12299608,696506
1615420,Bullet Train,2022,tt12593682,718930
1567833,Final Destination Bloodlines,2025,tt9619824,574475
1890462,Companion,2025,tt26584495,1084199
1687959,A Minecraft Movie,2025,tt3566834,950387
1504520,Black Adam,2022,tt6443346,436270
1874779,Juror #2,2024,tt27403986,1106739
1727260,Bring Her Back,2025,tt32246771,1151031
1628357,The Whale,2022,tt13833688,785084
1624514,X,2022,tt13560574,760104
1529898,The Brutalist,2024,tt8999762,549509
1496273,Dune,2021,tt1160419,438631
1295258,Parasite,2019,tt6751668,496243
1193690,Joker,2019,tt7286456,475557
1129886,Fantastic Beasts: The Secrets of Dumbledore,2022,tt4123432,338953
1679202,Pearl,2022,tt18925334,949423
1644435,Dune: Part Two,2024,tt15239678,693134
1607052,Where the Crawdads Sing,2022,tt9411972,682507
132421,Aquaman,2018,tt1477834,297802
1788689,Warfare,2025,tt31434639,1241436
1674882,The Substance,2024,tt17526714,933260
1612493,Zack Snyder's Justice League,2021,tt12361974,791373
1496510,The Suicide Squad,2021,tt6334354,436969
1484247,Midsommar,2019,tt8772262,530385
1343132,Shazam!,2019,tt0448115,287947
1163858,Hereditary,2018,tt7784604,493922
1855746,Babygirl,2024,tt30057084,1097549
1625605,Furiosa: A Mad Max Saga,2024,tt12037194,786892
1518160,Uncut Gems,2019,tt5727208,473033
1471731,Wonder Woman 1984,2020,tt7126948,464052
1187767,It Chapter Two,2019,tt7349950,474350
1129889,Fantastic Beasts: The Crimes of Grindelwald,2018,tt4123430,338952
1674798,Civil War,2024,tt17279496,929590
1403325,The Lighthouse,2019,tt7984734,503919
1494390,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,tt7713068,495764
1150103,Godzilla: King of the Monsters,2019,tt3741700,373571
1710711,We Live in Time,2024,tt27131358,1100099
1559743,Mortal Kombat,2021,tt0293429,460465
