id,title,year,imdb_id,tmdb_id
11035730,Ozzy: No Escape from Now,2025,tt35922832,1508191
1535445,Gladiator II,2024,tt9218128,558449
1437213,Top Gun: Maverick,2022,tt1745960,361743
1856741,Better Man,2024,tt14260836,799766
1583908,The Menu,2022,tt9764362,593643
1695539,The Naked Gun,2025,tt3402138,1035259
1645477,Smile,2022,tt15474916,882598
1585258,Babylon,2022,tt10640346,615777
1620816,The Lost City,2022,tt13320622,752623
1607086,Scream,2022,tt11245972,646385
1616694,Transformers One,2024,tt8864596,698687
110429,A Quiet Place,2018,tt6644200,447332
1257215,Mission: Impossible - Fallout,2018,tt4912910,353081
130381,Annihilation,2018,tt2798920,300668
1884650,Novocaine,2025,tt29603959,1195506
1688039,Sonic the Hedgehog 3,2024,tt18259086,939243
1616827,Sonic the Hedgehog 2,2022,tt12412888,675353
1515637,A Quiet Place Part II,2021,tt8332922,520763
162771,Bumblebee,2018,tt4701182,424783
1451289,Terminator: Dark Fate,2019,tt6450804,290859
1354993,Sonic the Hedgehog,2020,tt3794354,454626
1636699,A Quiet Place: Day One,2024,tt13433802,762441
1570233,Love and Monsters,2020,tt2222042,590223
1566627,Mission: Impossible - Dead Reckoning Part One,2023,tt9603212,575264
1112635,Dungeons & Dragons: Honor Among Thieves,2023,tt2906216,493529
1870910,Smile 2,2024,tt29268110,1100782
1767720,September 5,2024,tt28082769,1211472
1291905,Overlord,2018,tt4530422,438799
1467276,Whiplash,2014,tt2582802,244786
183690,Crawl,2019,tt8364368,511987
1299858,Pet Sematary,2019,tt0837563,157433
1675416,Scream VI,2023,tt17663992,934433
1472159,World War Z,2013,tt0816711,72190
1274714,Nightcrawler,2014,tt2872718,242582
1257216,Mission: Impossible - Ghost Protocol,2011,tt1229238,56292
133851,Arrival,2016,tt2543164,329865
1612693,Transformers: Rise of the Beasts,2023,tt5090568,667538
1439254,Transformers: Age of Extinction,2014,tt2109248,91314
1391557,The First Purge,2018,tt6133466,442249
1365314,Super 8,2011,tt1650062,37686
1359266,Star Trek Into Darkness,2013,tt1408101,54138
1257217,Mission: Impossible - Rogue Nation,2015,tt2381249,177677
1252064,Men in Black 3,2012,tt1409024,41154
1188727,Jack Reacher,2012,tt0790724,75780
1479577,Zero Dark Thirty,2012,tt1790885,97630
1374081,Terminator Genisys,2015,tt1340138,87101
1196005,Just Go with It,2011,tt1564367,50546
1172027,Hugo,2011,tt0970179,44826
1558773,I See You,2019,tt6079516,524251
1372768,Teenage Mutant Ninja Turtles,2014,tt1291150,98566
1346477,Shutter Island,2010,tt1130884,11324
1340523,Seven Psychopaths,2012,tt1931533,86838
1276287,No Country for Old Men,2007,tt0477348,6977
1229054,Life,2017,tt5442430,395992
1158270,Hansel & Gretel: Witch Hunters,2013,tt1428538,60304
1608899,Jackass Forever,2022,tt11466222,656663
1593270,IF,2024,tt11152168,639720
1480541,Zodiac,2007,tt0443706,1949
1461996,War of the Worlds,2005,tt0407304,74
1441124,Tropic Thunder,2008,tt0942385,7446
1439257,Transformers: The Last Knight,2017,tt3371366,335988
1428531,The Woman in Black,2012,tt1596365,65086
1406951,The Mechanic,2011,tt0472399,27582
1359256,Star Trek Beyond,2016,tt2660888,188927
1359246,Star Trek,2009,tt0796366,13475
1348450,Sin City,2005,tt0401792,187
1336409,Scream 4,2011,tt1262416,41446
1261298,mother!,2017,tt5109784,381283
1255999,Minority Report,2002,tt0181689,180
1250278,Mean Girls,2004,tt0377092,10625
1153878,Grown Ups 2,2013,tt2191701,109418
1105826,District 9,2009,tt1136608,17654
140772,Bad Teacher,2011,tt1284575,52449
1142939,G.I. Joe: Retaliation,2013,tt1583421,72559
1399501,The Italian Job,2003,tt0317740,9654
1416013,The Ring,2002,tt0298130,565
1367127,Sweeney Todd: The Demon Barber of Fleet Street,2007,tt0408236,13885
1257219,Mission: Impossible III,2006,tt0317919,956
1252065,Men in Black II,2002,tt0120912,608
1162636,Hellboy,2004,tt0167190,1487
1144084,Gangs of New York,2002,tt0217505,3131
179136,Collateral,2004,tt0369339,1538
178157,Cloverfield,2008,tt1060277,7191
128081,Anchorman 2: The Legend Continues,2013,tt1229340,109443
123368,Allied,2016,tt3640424,369885
113468,A.I. Artificial Intelligence,2001,tt0212720,644
1583803,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,tt8589698,614930
1454103,Vanilla Sky,2001,tt0259711,1903
1439256,Transformers: Revenge of the Fallen,2009,tt1055369,8373
1405145,The Machinist,2004,tt0361862,4553
1399403,The Island,2005,tt0399201,1635
1347616,Silence,2016,tt0490215,68730
1335911,School of Rock,2003,tt0332379,1584
1323952,Road to Perdition,2002,tt0257044,4147
1299264,Perfume: The Story of a Murderer,2006,tt0396171,1427
1153877,Grown Ups,2010,tt1375670,38365
1684218,Jerry & Marge Go Large,2022,tt8323668,843847
1360238,Step Brothers,2008,tt0838283,12133
1295162,Paranormal Activity,2007,tt1179904,23827
1294066,Panic Room,2002,tt0258000,4547
1188732,Jack Ryan: Shadow Recruit,2014,tt1205537,137094
1153235,Green Room,2016,tt4062536,313922
1150965,Gone Baby Gone,2007,tt0452623,4771
1105842,Disturbia,2007,tt0486822,8271
187566,Daddy's Home,2015,tt1528854,274167
11420,13 Going on 30,2004,tt0337563,10096
1439251,Transformers,2007,tt0418279,1858
1419899,The Smurfs,2011,tt0472181,41513
1404875,The Lovely Bones,2009,tt0380510,7980
1404304,The Longest Yard,2005,tt0398165,9291
1372772,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,tt3949660,308531
1169953,Hostel,2006,tt0450278,1690
173068,Chicago,2002,tt0299658,1574
13197,30 Days of Night,2007,tt0389722,4513
1310542,Pulp Fiction,1994,tt0110912,680
