,id,imdb_id,primaryTitle,originalTitle,titleType,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers,actors
0,1703330,tt5950044,Superman,Superman,movie,2025,0.0,129,"Action,Adventure,Sci-Fi",7.1,327640.0,James Gunn,"James Gunn, Jerry Siegel, Joe Shuster","David Corenswet, Rachel Brosnahan, Nicholas Hoult, Alan Tudyk, Grace Chan, Bradley Cooper, Angela Sarafyan, Michael Rooker, Pom Klementieff, María Gabriela de Faría"
1,1783110,tt31193180,Sinners,Sinners,movie,2025,0.0,137,"Action,Drama,Horror",7.6,292398.0,Ryan Coogler,Ryan Coogler,"Michael B. Jordan, Michael B. Jordan, Miles Caton, Saul Williams, Andrene Ward-Hammond, Jack O'Connell, Tenaj L. Jackson, Dave Maldonado, Aadyn Encalarde, Helena Hu, Yao"
2,1532981,tt1877830,The Batman,The Batman,movie,2022,0.0,176,"Action,Crime,Drama",7.8,898732.0,Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane, Bill Finger","Robert Pattinson, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Colin Farrell, Paul Dano, John Turturro, Andy Serkis, Peter Sarsgaard, Barry Keoghan, Jayme Lawson"
3,1718402,tt28015403,Heretic,Heretic,movie,2024,0.0,111,"Horror,Thriller",7.0,196198.0,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East, Topher Grace, Elle Young, Julie Lynn Mortensen, Haylie Hansen, Elle McKinnon, Hanna Huffman, Anesha Bailey"
4,1653388,tt12299608,Mickey 17,Mickey 17,movie,2025,0.0,137,"Adventure,Comedy,Fantasy",6.7,203603.0,Bong Joon Ho,"Bong Joon Ho, Edward Ashton","Robert Pattinson, Steven Yeun, Michael Monroe, Patsy Ferran, Cameron Britton, Christian Patterson, Lloyd Hutchinson, Samuel Blenkin, Ian Hanmore, Sabet Choudhury"
5,1615420,tt12593682,Bullet Train,Bullet Train,movie,2022,0.0,127,"Action,Comedy,Thriller",7.3,510410.0,David Leitch,"Zak Olkewicz, Kôtarô Isaka","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Sandra Bullock, Bad Bunny, Logan Lerman"
6,1567833,tt9619824,Final Destination: Bloodlines,Final Destination Bloodlines,movie,2025,0.0,110,"Horror,Thriller",6.7,133631.0,"Zach Lipovsky, Adam B. Stein","Guy Busick, Lori Evans Taylor, Jon Watts, Jeffrey Reddick","Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt, Richard Harmon, Owen Patrick Joyner, Anna Lore, Alex Zahara, April Telek, Tinpo Lee, Tony Todd"
7,1890462,tt26584495,Companion,Companion,movie,2025,0.0,97,"Sci-Fi,Thriller",6.9,145236.0,Drew Hancock,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén, Rupert Friend, Jaboukie Young-White, Matt McCarthy, Marc Menchaca, Woody Fu"
8,1504520,tt6443346,Black Adam,Black Adam,movie,2022,0.0,125,"Action,Adventure,Fantasy",6.1,298733.0,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani, Bill Parker, C.C. Beck, Jack Kirby, Jerry Siegel, Joe Shuster","Dwayne Johnson, Dwayne Johnson, Aldis Hodge, Aldis Hodge, Pierce Brosnan, Pierce Brosnan, Noah Centineo, Noah Centineo, Sarah Shahi, Quintessa Swindell, Quintessa Swindell, Marwan Kenzari, Marwan Kenzari, Marwan Kenzari, Bodhi Sabongui, Mohammed Amer, James Cusati-Moyer"
9,1687959,tt3566834,A Minecraft Movie,A Minecraft Movie,movie,2025,0.0,101,"Action,Adventure,Comedy",5.6,140142.0,Jared Hess,"Chris Bowman, Hubbel Palmer, Neil Widener, Gavin James, Chris Galletta, Allison Schroeder","Jason Momoa, Jack Black, Sebastian Hansen, Emma Myers, Danielle Brooks, Jennifer Coolidge, Rachel House, Allan Henry, Bram Scott-Breheny, Moana Williams"
