id,imdb_id,primaryTitle,originalTitle,titleType,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers,directors_names,writers_names,actors_names,tconst,actors
1703330,tt5950044,Superman,Superman,movie,2025,0.0,129,"Action,Adventure,Sci-Fi",7.1,327640.0,nm0348181,"nm0348181,nm0796950,nm0795975",James Gunn,"James Gunn, Jerry Siegel, Joe Shuster","David Corenswet, Rachel Brosnahan, Nicholas Hoult, Alan Tudyk, Grace Chan, Bradley Cooper, Angela Sarafyan, Michael Rooker, Pom Klementieff, María Gabriela de Faría",tt5950044,"nm4825178, nm3014031, nm0396558, nm0876138, nm16346343, nm0177896, nm1494168, nm0740264, nm2962353, nm1303373"
1783110,tt31193180,Sinners,Sinners,movie,2025,0.0,137,"Action,Drama,Horror",7.6,292398.0,nm3363032,nm3363032,Ryan Coogler,Ryan Coogler,"Michael B. Jordan, Michael B. Jordan, Miles Caton, Saul Williams, Andrene Ward-Hammond, Jack O'Connell, Tenaj L. Jackson, Dave Maldonado, Aadyn Encalarde, Helena Hu, Yao",tt31193180,"nm0430107, nm0430107, nm10416836, nm0931654, nm6292935, nm1925239, nm4206711, nm1296223, nm7504534, nm10615819, nm6856042"
1532981,tt1877830,The Batman,The Batman,movie,2022,0.0,176,"Action,Crime,Drama",7.8,898732.0,nm0716257,"nm0716257,nm0185976,nm0004170,nm0277730",Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane, Bill Finger","Robert Pattinson, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Colin Farrell, Paul Dano, John Turturro, Andy Serkis, Peter Sarsgaard, Barry Keoghan, Jayme Lawson",tt1877830,"nm1500155, nm1500155, nm2368789, nm0942482, nm0268199, nm0268199, nm0200452, nm0001806, nm0785227, nm0765597, nm4422686, nm11123883"
1718402,tt28015403,Heretic,Heretic,movie,2024,0.0,111,"Horror,Thriller",7.0,196198.0,"nm1399714,nm1456816","nm1399714,nm1456816","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East, Topher Grace, Elle Young, Julie Lynn Mortensen, Haylie Hansen, Elle McKinnon, Hanna Huffman, Anesha Bailey",tt28015403,"nm0000424, nm7393303, nm5557379, nm0333410, nm4613178, nm4732160, nm16328578, nm8236642, nm6786761, nm5726790"
1653388,tt12299608,Mickey 17,Mickey 17,movie,2025,0.0,137,"Adventure,Comedy,Fantasy",6.7,203603.0,nm0094435,"nm0094435,nm11570022",Bong Joon Ho,"Bong Joon Ho, Edward Ashton","Robert Pattinson, Steven Yeun, Michael Monroe, Patsy Ferran, Cameron Britton, Christian Patterson, Lloyd Hutchinson, Samuel Blenkin, Ian Hanmore, Sabet Choudhury",tt12299608,"nm1500155, nm3081796, nm11547964, nm7153076, nm5866359, nm2547200, nm0404371, nm8779346, nm0360171, nm3887465"
1615420,tt12593682,Bullet Train,Bullet Train,movie,2022,0.0,127,"Action,Comedy,Thriller",7.3,510410.0,nm0500610,"nm5599654,nm2157655",David Leitch,"Zak Olkewicz, Kôtarô Isaka","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Sandra Bullock, Bad Bunny, Logan Lerman",tt12593682,"nm0000093, nm1428821, nm1093951, nm3109964, nm4010671, nm0760796, nm0788335, nm0000113, nm9559545, nm0503567"
1567833,tt9619824,Final Destination: Bloodlines,Final Destination Bloodlines,movie,2025,0.0,110,"Horror,Thriller",6.7,133631.0,"nm0513554,nm1437652","nm2361509,nm1107925,nm1218281,nm0714695","Zach Lipovsky, Adam B. Stein","Guy Busick, Lori Evans Taylor, Jon Watts, Jeffrey Reddick","Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt, Richard Harmon, Owen Patrick Joyner, Anna Lore, Alex Zahara, April Telek, Tinpo Lee, Tony Todd",tt9619824,"nm8766941, nm3897067, nm0452748, nm2113653, nm6669135, nm4741273, nm0951912, nm0854304, nm1902531, nm0865302"
1890462,tt26584495,Companion,Companion,movie,2025,0.0,97,"Sci-Fi,Thriller",6.9,145236.0,nm1289733,nm1289733,Drew Hancock,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén, Rupert Friend, Jaboukie Young-White, Matt McCarthy, Marc Menchaca, Woody Fu",tt26584495,"nm7393303, nm4425051, nm4965072, nm3514372, nm2957490, nm1670029, nm7187850, nm3804613, nm0578766, nm4758507"
1504520,tt6443346,Black Adam,Black Adam,movie,2022,0.0,125,"Action,Adventure,Fantasy",6.1,298733.0,nm1429471,"nm1186373,nm3239033,nm2126954,nm1791910,nm1304148,nm0456158,nm0796950,nm0795975",Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani, Bill Parker, C.C. Beck, Jack Kirby, Jerry Siegel, Joe Shuster","Dwayne Johnson, Dwayne Johnson, Aldis Hodge, Aldis Hodge, Pierce Brosnan, Pierce Brosnan, Noah Centineo, Noah Centineo, Sarah Shahi, Quintessa Swindell, Quintessa Swindell, Marwan Kenzari, Marwan Kenzari, Marwan Kenzari, Bodhi Sabongui, Mohammed Amer, James Cusati-Moyer",tt6443346,"nm0425005, nm0425005, nm0388038, nm0388038, nm0000112, nm0000112, nm3170207, nm3170207, nm1083404, nm9165599, nm9165599, nm3092471, nm3092471, nm3092471, nm5156567, nm3112453, nm2933477"
1687959,tt3566834,A Minecraft Movie,A Minecraft Movie,movie,2025,0.0,101,"Action,Adventure,Comedy",5.6,140142.0,nm0381478,"nm0101302,nm1376062,nm1382051,nm1008811,nm3658138,nm2284377",Jared Hess,"Chris Bowman, Hubbel Palmer, Neil Widener, Gavin James, Chris Galletta, Allison Schroeder","Jason Momoa, Jack Black, Sebastian Hansen, Emma Myers, Danielle Brooks, Jennifer Coolidge, Rachel House, Allan Henry, Bram Scott-Breheny, Moana Williams",tt3566834,"nm0597388, nm0085312, nm9625187, nm3528821, nm5335029, nm0177639, nm1344302, nm2571916, nm17019630, nm17173420"
