,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
0,1874486,tt36463894,Predator: Killer of Killers,Predator: Killer of Killers,Predator: Killer of Killers,movie,2025,2025,0,85,"['Action', 'Adventure', 'Animation']",7.5,47138,"['nm0870469', 'nm1945519']","['nm3026436', 'nm0870469', 'nm0859029', 'nm0859049']"
1,1685606,tt20969586,Thunderbolts*,Thunderbolts*,Thunderbolts*,movie,2025,2025,0,127,"['Action', 'Adventure', 'Crime']",7.1,230511,['nm1500577'],"['nm3069408', 'nm3355108', 'nm1598146', 'nm4987357', 'nm0498278', 'nm0456158', 'nm0800209', 'nm1286111', 'nm1219462']"
2,1508465,tt6208148,Snow White,Snow White,Snow White,movie,2025,2025,0,109,"['Adventure', 'Family', 'Fantasy']",2.1,389806,['nm1989536'],"['nm0933379', 'nm0342278', 'nm0342303']"
3,1560295,tt9419884,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,movie,2022,2022,0,126,"['Action', 'Adventure', 'Fantasy']",6.9,529038,['nm0000600'],"['nm5642271', 'nm0498278', 'nm0228492']"
4,138018,tt1630029,Avatar: The Way of Water,Avatar: The Way of Water,Avatar: The Way of Water,movie,2022,2022,0,192,"['Action', 'Adventure', 'Fantasy']",7.5,548872,['nm0000116'],"['nm0000116', 'nm0415425', 'nm0798646', 'nm0295264', 'nm0004307']"
5,1633704,tt14513804,Captain America: Brave New World,Captain America: Brave New World,Captain America: Brave New World,movie,2025,2025,0,118,"['Action', 'Adventure', 'Sci-Fi']",5.6,167312,['nm1564809'],"['nm0972395', 'nm1173259', 'nm0615914', 'nm1564809', 'nm2871592', 'nm0800209', 'nm0456158']"
6,1584304,tt10648342,Thor: Love and Thunder,Thor: Love and Thunder,Thor: Love and Thunder,movie,2022,2022,0,118,"['Action', 'Adventure', 'Comedy']",6.1,446403,['nm0169806'],"['nm0169806', 'nm3066492', 'nm0498278', 'nm1293367', 'nm0456158', 'nm4160687', 'nm1921680', 'nm1411347', 'nm2757098', 'nm0317493', 'nm3053444']"
7,1491945,tt9114286,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,movie,2022,2022,0,161,"['Action', 'Adventure', 'Drama']",6.6,342582,['nm3363032'],"['nm3363032', 'nm1963288', 'nm0498278', 'nm0456158']"
8,1789097,tt13622970,Moana 2,Moana 2,Moana 2,movie,2024,2024,0,100,"['Adventure', 'Animation', 'Comedy']",6.4,116624,"['nm3989471', 'nm2911364', 'nm2834849']","['nm1158544', 'nm2834849', 'nm2414279', 'nm5189773']"
9,1598630,tt11655566,Lilo & Stitch,Lilo & Stitch,Lilo & Stitch,movie,2025,2025,0,108,"['Action', 'Adventure', 'Comedy']",6.7,80924,['nm3255797'],"['nm6567426', 'nm7625761', 'nm0761498', 'nm0213450']"
10,1624287,tt8097030,Turning Red,Turning Red,Turning Red,movie,2022,2022,0,100,"['Adventure', 'Animation', 'Comedy']",6.9,169010,['nm7626019'],"['nm7626019', 'nm3264196', 'nm4927551']"
11,1450845,tt5108870,Morbius,Morbius,Morbius,movie,2022,2022,0,104,"['Action', 'Adventure', 'Horror']",5.1,167765,['nm1174251'],"['nm1948885', 'nm2332952']"
12,1450054,tt4154796,Avengers: Endgame,Avengers: Endgame,Avengers: Endgame,movie,2019,2019,0,181,"['Action', 'Adventure', 'Sci-Fi']",8.4,1394549,"['nm0751577', 'nm0751648']","['nm1321655', 'nm1321656', 'nm0498278', 'nm0456158', 'nm0800209', 'nm1921680', 'nm3053444', 'nm2757098', 'nm0317493', 'nm4160687', 'nm1293367', 'nm1411347']"
13,138100,tt4154756,Avengers: Infinity War,Avengers: Infinity War,Avengers: Infinity War,movie,2018,2018,0,149,"['Action', 'Adventure', 'Sci-Fi']",8.4,1324990,"['nm0751577', 'nm0751648']","['nm1321655', 'nm1321656', 'nm0498278', 'nm0456158', 'nm0800209', 'nm1921680', 'nm3053444', 'nm2757098', 'nm0317493', 'nm4160687', 'nm1293367', 'nm1411347']"
14,1494176,tt6263850,Deadpool & Wolverine,Deadpool & Wolverine,Deadpool & Wolverine,movie,2024,2024,0,128,"['Action', 'Adventure', 'Comedy']",7.5,533833,['nm0506613'],"['nm0005351', 'nm1014201', 'nm1116660', 'nm2745845', 'nm0506613', 'nm0509580', 'nm1436760', 'nm0918083', 'nm0739661', 'nm1079460', 'nm0859471', 'nm0800209', 'nm0456158', 'nm0588340']"
15,1455450,tt1270797,Venom,Venom,Venom,movie,2018,2018,0,112,"['Action', 'Adventure', 'Sci-Fi']",6.6,591481,['nm0281508'],"['nm0684374', 'nm0003298', 'nm0545150', 'nm0568825', 'nm2163440']"
16,1359294,tt2527338,Star Wars: The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,movie,2019,2019,0,141,"['Action', 'Adventure', 'Fantasy']",6.4,528358,['nm0009190'],"['nm0006516', 'nm0009190', 'nm2081046', 'nm1119880', 'nm0000184']"
17,1357314,tt6320628,Spider-Man: Far From Home,Spider-Man: Far from Home,Spider-Man: Far from Home,movie,2019,2019,0,129,"['Action', 'Adventure', 'Comedy']",7.4,615686,['nm1218281'],"['nm0571344', 'nm1273099', 'nm0498278', 'nm0228492', 'nm0800209', 'nm0456158']"
18,194188,tt5463162,Deadpool 2,Deadpool 2,Deadpool 2,movie,2018,2018,0,119,"['Action', 'Adventure', 'Comedy']",7.6,727522,['nm0500610'],"['nm1014201', 'nm1116660', 'nm0005351', 'nm0509580', 'nm1436760']"
19,167043,tt4154664,Captain Marvel,Captain Marvel,Captain Marvel,movie,2019,2019,0,123,"['Action', 'Adventure', 'Sci-Fi']",6.7,645237,"['nm1349818', 'nm0281396']","['nm1349818', 'nm0281396', 'nm4039044', 'nm2270979', 'nm0498834']"
20,153257,tt1825683,Black Panther,Black Panther,Black Panther,movie,2018,2018,0,134,"['Action', 'Adventure', 'Sci-Fi']",7.3,891713,['nm3363032'],"['nm3363032', 'nm1963288', 'nm0498278', 'nm0456158']"
21,1704323,tt0899043,The Amateur,The Amateur,The Amateur,movie,2025,2025,0,122,"['Action', 'Thriller']",6.5,82437,['nm0369949'],"['nm0514474', 'nm0634307', 'nm0818889']"
22,1608765,tt10298810,Lightyear,Lightyear,Lightyear,movie,2022,2022,0,105,"['Action', 'Adventure', 'Animation']",6.1,133205,['nm0533691'],"['nm0533691', 'nm0017690', 'nm3268751', 'nm10264498', 'nm0004056', 'nm4454013']"
23,1534152,tt6264654,Free Guy,Free Guy,Free Guy,movie,2021,2021,0,115,"['Action', 'Adventure', 'Comedy']",7.1,474393,['nm0506613'],"['nm1073238', 'nm0672015']"
24,1526288,tt2948372,Soul,Soul,Soul,movie,2020,2020,0,100,"['Adventure', 'Animation', 'Comedy']",8.0,417932,"['nm0230032', 'nm5358492']","['nm0230032', 'nm0428873', 'nm5358492']"
25,1567837,tt9376612,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,movie,2021,2021,0,132,"['Action', 'Adventure', 'Fantasy']",7.3,475683,['nm2308774'],"['nm1709264', 'nm2308774', 'nm6150131', 'nm1921680', 'nm4160687']"
26,1501613,tt3480822,Black Widow,Black Widow,Black Widow,movie,2021,2021,0,134,"['Action', 'Adventure', 'Sci-Fi']",6.6,465124,['nm0795153'],"['nm3069408', 'nm2356614', 'nm0072600']"
