,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
0,1874486,tt36463894,Predator: Killer of Killers,Predator: Killer of Killers,Predator: Killer of Killers,movie,2025,2025,0,85,"['Action', 'Adventure', 'Animation']",7.5,44742,"['nm0870469', 'nm1945519']","['nm3026436', 'nm0870469', 'nm0859029', 'nm0859049']"
1,1615420,tt12593682,Bullet Train,Bullet Train,Bullet Train,movie,2022,2022,0,127,"['Action', 'Comedy', 'Thriller']",7.3,506862,['nm0500610'],"['nm5599654', 'nm2157655']"
2,1583908,tt9764362,The Menu,The Menu,The Menu,movie,2022,2022,0,107,"['Comedy', 'Horror', 'Thriller']",7.2,469715,['nm0617042'],"['nm2219721', 'nm4301557']"
3,1515072,tt1464335,Uncharted,Uncharted,Uncharted,movie,2022,2022,0,116,"['Action', 'Adventure']",6.3,288938,['nm0281508'],"['nm1988994', 'nm1436466', 'nm0391344', 'nm2616125', 'nm4731086']"
4,1650358,tt15791034,Barbarian,Barbarian,Barbarian,movie,2022,2022,0,102,"['Horror', 'Mystery', 'Thriller']",7.0,237987,['nm1199107'],['nm1199107']
5,1623260,tt11866324,Prey,Prey,Prey,movie,2022,2022,0,100,"['Action', 'Adventure', 'Sci-Fi']",7.1,256916,['nm0870469'],"['nm1725034', 'nm0870469', 'nm0859029', 'nm0859049']"
6,1649223,tt10855768,Missing,Missing,Missing,movie,2023,2023,0,111,"['Drama', 'Mystery', 'Thriller']",7.1,69352,"['nm4946908', 'nm4148345']","['nm4148345', 'nm4946908', 'nm3539578', 'nm3792134']"
7,1620896,tt7405458,A Man Called Otto,A Man Called Otto,A Man Called Otto,movie,2022,2022,0,126,"['Comedy', 'Drama']",7.5,198705,['nm0286975'],"['nm7554519', 'nm0391502', 'nm1341735']"
8,1568066,tt7322224,Triangle of Sadness,Triangle of Sadness,Triangle of Sadness,movie,2022,2022,0,147,"['Comedy', 'Drama']",7.2,207605,['nm1128037'],['nm1128037']
9,194978,tt7657566,Death on the Nile,Death on the Nile,Death on the Nile,movie,2022,2022,0,127,"['Crime', 'Drama', 'Mystery']",6.3,204270,['nm0000110'],"['nm0338169', 'nm0002005']"
10,1620816,tt13320622,The Lost City,The Lost City,The Lost City,movie,2022,2022,0,112,"['Action', 'Adventure', 'Comedy']",6.1,172341,"['nm1887480', 'nm1519639']","['nm3349927', 'nm1401416', 'nm1519639', 'nm1887480', 'nm1164861']"
11,1607086,tt11245972,Scream,Scream,Scream,movie,2022,2022,0,114,"['Horror', 'Mystery', 'Thriller']",6.3,177975,"['nm2366012', 'nm2419470']","['nm0888743', 'nm2361509', 'nm0932078']"
12,1695454,tt21823606,A Real Pain,A Real Pain,A Real Pain,movie,2024,2024,0,90,"['Comedy', 'Drama']",7.1,113179,['nm0251986'],['nm0251986']
13,1607052,tt9411972,Where the Crawdads Sing,Where the Crawdads Sing,Where the Crawdads Sing,movie,2022,2022,0,125,"['Drama', 'Mystery', 'Romance']",7.2,151374,['nm3229507'],"['nm3380457', 'nm3599054']"
14,1596439,tt11563598,A Complete Unknown,A Complete Unknown,A Complete Unknown,movie,2024,2024,0,141,"['Biography', 'Drama', 'Music']",7.3,102040,['nm0003506'],"['nm0003506', 'nm0168379', 'nm2374778']"
15,1137596,tt1950186,Ford v Ferrari,Ford v Ferrari,Ford v Ferrari,movie,2019,2019,0,152,"['Action', 'Biography', 'Drama']",8.1,541250,['nm0003506'],"['nm0125336', 'nm3890871', 'nm0445669']"
16,1709096,tt27714946,The Monkey,The Monkey,The Monkey,movie,2025,2025,0,98,['Horror'],5.9,75419,['nm0674020'],"['nm0674020', 'nm0000175']"
