,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
0,11035730,tt35922832,Ozzy: No Escape from Now,Ozzy Osbourne: No Escape from Now,Ozzy Osbourne: No Escape from Now,movie,2025,,0,,['Documentary'],,,['nm0018771'],[]
1,1535445,tt9218128,Gladiator II,Gladiator II,Gladiator II,movie,2024,2024,0,148,"['Action', 'Adventure', 'Drama']",6.5,272412,['nm0000631'],"['nm0291905', 'nm0185976', 'nm0769227']"
2,1437213,tt1745960,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,movie,2022,2022,0,130,"['Action', 'Drama']",8.2,802254,['nm2676052'],"['nm0143596', 'nm0258390', 'nm0185976', 'nm1098479', 'nm0472567', 'nm2545235', 'nm0003160']"
3,1856741,tt14260836,Better Man,Better Man,Better Man,movie,2024,2024,0,135,"['Biography', 'Fantasy', 'Music']",7.5,39052,['nm1243905'],"['nm0005560', 'nm2352568', 'nm2555314', 'nm1243905']"
4,1583908,tt9764362,The Menu,The Menu,The Menu,movie,2022,2022,0,107,"['Comedy', 'Horror', 'Thriller']",7.2,469715,['nm0617042'],"['nm2219721', 'nm4301557']"
5,1695539,tt3402138,The Naked Gun,The Naked Gun,The Naked Gun,movie,2025,2025,0,85,"['Action', 'Comedy', 'Crime']",6.7,51232,['nm1676223'],"['nm2287168', 'nm3096061', 'nm1676223', 'nm0000720', 'nm0001878', 'nm0958387']"
6,1645477,tt15474916,Smile,Smile,Smile,movie,2022,2022,0,115,"['Horror', 'Mystery', 'Thriller']",6.5,224673,['nm6475689'],['nm6475689']
7,1585258,tt10640346,Babylon,Babylon,Babylon,movie,2022,2022,0,189,"['Comedy', 'Drama']",7.1,198098,['nm3227090'],['nm3227090']
8,1620816,tt13320622,The Lost City,The Lost City,The Lost City,movie,2022,2022,0,112,"['Action', 'Adventure', 'Comedy']",6.1,172341,"['nm1887480', 'nm1519639']","['nm3349927', 'nm1401416', 'nm1519639', 'nm1887480', 'nm1164861']"
9,1607086,tt11245972,Scream,Scream,Scream,movie,2022,2022,0,114,"['Horror', 'Mystery', 'Thriller']",6.3,177975,"['nm2366012', 'nm2419470']","['nm0888743', 'nm2361509', 'nm0932078']"
10,1616694,tt8864596,Transformers One,Transformers One,Transformers One,movie,2024,2024,0,104,"['Action', 'Adventure', 'Animation']",7.6,58052,['nm2155757'],"['nm3069408', 'nm3029372', 'nm2592245', 'nm1992327']"
11,110429,tt6644200,A Quiet Place,A Quiet Place,A Quiet Place,movie,2018,2018,0,90,"['Drama', 'Horror', 'Sci-Fi']",7.5,638301,['nm1024677'],"['nm1456816', 'nm1399714', 'nm1024677']"
12,1257215,tt4912910,Mission: Impossible - Fallout,Mission: Impossible - Fallout,Mission: Impossible - Fallout,movie,2018,2018,0,147,"['Action', 'Adventure', 'Thriller']",7.7,408861,['nm0003160'],"['nm0312367', 'nm0003160']"
