,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
0,11001921,tt26683420,John Candy: I Like Me,John Candy: I Like Me,John Candy: I Like Me,movie,2025,2025,0,113,"['Biography', 'Comedy', 'Documentary']",7.5,78,['nm0004988'],[]
1,1882904,tt33335602,Maintenance Required,Maintenance Required,Maintenance Required,movie,2025,2025,0,,"['Comedy', 'Romance']",,,['nm8919237'],"['nm12913021', 'nm2874428', 'nm8919237']"
2,1535445,tt9218128,Gladiator II,Gladiator II,Gladiator II,movie,2024,2024,0,148,"['Action', 'Adventure', 'Drama']",6.5,272412,['nm0000631'],"['nm0291905', 'nm0185976', 'nm0769227']"
3,1532981,tt1877830,The Batman,The Batman,The Batman,movie,2022,2022,0,176,"['Action', 'Crime', 'Drama']",7.8,893476,['nm0716257'],"['nm0716257', 'nm0185976', 'nm0004170', 'nm0277730']"
4,1498670,tt5040012,Nosferatu,Nosferatu,Nosferatu,movie,2024,2024,0,132,"['Fantasy', 'Horror', 'Mystery']",7.2,232086,['nm3211470'],"['nm3211470', 'nm0301961', 'nm0831290']"
5,1856743,tt20215234,Conclave,Conclave,Conclave,movie,2024,2024,0,120,"['Drama', 'Thriller']",7.4,218441,['nm0074163'],"['nm1661186', 'nm0365249']"
6,1856741,tt14260836,Better Man,Better Man,Better Man,movie,2024,2024,0,135,"['Biography', 'Fantasy', 'Music']",7.5,39052,['nm1243905'],"['nm0005560', 'nm2352568', 'nm2555314', 'nm1243905']"
7,1588223,tt7068946,The Accountant²,The Accountant 2,The Accountant 2,movie,2025,2025,0,132,"['Action', 'Crime', 'Drama']",6.6,106705,['nm0640334'],['nm4057793']
8,1468618,tt1262426,Wicked,Wicked,Wicked: Part I,movie,2024,2024,0,160,"['Fantasy', 'Musical', 'Romance']",7.4,183044,['nm0160840'],"['nm0392848', 'nm1401416', 'nm0536579', 'nm0000875']"
9,1644519,tt14948432,Red One,Red One,Red One,movie,2024,2024,0,123,"['Action', 'Adventure', 'Comedy']",6.3,145446,['nm0440458'],"['nm0604555', 'nm1205652']"
10,1515072,tt1464335,Uncharted,Uncharted,Uncharted,movie,2022,2022,0,116,"['Action', 'Adventure']",6.3,288938,['nm0281508'],"['nm1988994', 'nm1436466', 'nm0391344', 'nm2616125', 'nm4731086']"
11,1450845,tt5108870,Morbius,Morbius,Morbius,movie,2022,2022,0,104,"['Action', 'Adventure', 'Horror']",5.1,166906,['nm1174251'],"['nm1948885', 'nm2332952']"
12,1620941,tt13357520,Heads of State,Heads of State,Heads of State,movie,2025,2025,0,116,"['Action', 'Comedy', 'Thriller']",6.4,55423,['nm5820154'],"['nm0032227', 'nm0625858', 'nm7042236']"
13,1616694,tt8864596,Transformers One,Transformers One,Transformers One,movie,2024,2024,0,104,"['Action', 'Adventure', 'Animation']",7.6,58052,['nm2155757'],"['nm3069408', 'nm3029372', 'nm2592245', 'nm1992327']"
14,1487859,tt8946378,Knives Out,Knives Out,Knives Out,movie,2019,2019,0,130,"['Comedy', 'Crime', 'Drama']",7.9,830444,['nm0426059'],['nm0426059']
15,157269,tt2382320,No Time to Die,No Time to Die,No Time to Die,movie,2021,2021,0,163,"['Action', 'Adventure', 'Thriller']",7.3,471383,['nm1560977'],"['nm0701031', 'nm0905498', 'nm1560977', 'nm3564817']"
16,1884650,tt29603959,Novocaine,Novocaine,Novocaine,movie,2025,2025,0,110,"['Action', 'Comedy', 'Crime']",6.5,66556,"['nm3228270', 'nm1793586']",['nm2556052']
17,1688039,tt18259086,Sonic the Hedgehog 3,Sonic the Hedgehog 3,Sonic the Hedgehog 3,movie,2024,2024,0,110,"['Action', 'Adventure', 'Comedy']",6.9,71049,['nm1733778'],"['nm1352459', 'nm1351254', 'nm4465847']"
18,11035495,tt38119836,SAQUON,Saquon,Saquon,movie,2025,2025,0,,['Documentary'],,,['nm11941708'],[]
19,1143678,tt2704998,Game Night,Game Night,Game Night,movie,2018,2018,0,100,"['Action', 'Adventure', 'Comedy']",6.9,269048,"['nm0197855', 'nm0326246']",['nm0991423']
20,1783225,tt30988739,Black Bag,Black Bag,Black Bag,movie,2025,2025,0,93,"['Drama', 'Mystery', 'Romance']",6.7,66703,['nm0001752'],['nm0462895']
21,1758068,tt9150192,A Working Man,A Working Man,A Working Man,movie,2025,2025,0,116,"['Action', 'Thriller']",5.7,62910,['nm0043742'],"['nm1570426', 'nm0000230', 'nm0043742']"
22,1679996,tt1684562,The Fall Guy,The Fall Guy,The Fall Guy,movie,2024,2024,0,126,"['Action', 'Comedy', 'Drama']",6.8,234797,['nm0500610'],"['nm0488991', 'nm1510800']"
23,1590821,tt11083552,Wrath of Man,Wrath of Man,Wrath of Man,movie,2021,2021,0,119,"['Action', 'Crime', 'Thriller']",7.1,229783,['nm0005363'],"['nm0099398', 'nm0078704', 'nm0005363', 'nm6842463', 'nm3044095']"
24,1583797,tt9777666,The Tomorrow War,The Tomorrow War,The Tomorrow War,movie,2021,2021,0,138,"['Action', 'Adventure', 'Drama']",6.6,245604,['nm0003021'],['nm3916149']
25,1586499,tt10288566,Another Round,Another Round,Druk,movie,2020,2020,0,117,"['Comedy', 'Drama']",7.7,217299,['nm0899121'],"['nm0899121', 'nm2105585']"
26,1133049,tt6513120,Fighting with My Family,Fighting with My Family,Fighting with My Family,movie,2019,2019,0,108,"['Biography', 'Comedy', 'Drama']",7.0,91820,['nm0580351'],['nm0580351']
27,1695859,tt12584954,Twisters,Twisters,Twisters,movie,2024,2024,0,122,"['Action', 'Adventure', 'Thriller']",6.5,182896,['nm1818032'],"['nm1872664', 'nm2676052', 'nm0000341', 'nm0551926']"
28,1676852,tt15314262,The Beekeeper,The Beekeeper,The Beekeeper,movie,2024,2024,0,105,"['Action', 'Crime', 'Thriller']",6.3,168362,['nm0043742'],['nm0934483']
29,1675817,tt16426418,Challengers,Challengers,Challengers,movie,2024,2024,0,131,"['Comedy', 'Drama', 'Romance']",7.0,164092,['nm0345174'],['nm3936259']
30,1623632,tt10403420,Terrifier 2,Terrifier 2,Terrifier 2,movie,2022,2022,0,138,['Horror'],6.0,76817,['nm2093171'],['nm2093171']
31,1617949,tt13143964,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,movie,2020,2020,0,95,['Comedy'],6.6,161523,['nm0938471'],"['nm0056187', 'nm0385630', 'nm2255631', 'nm0063165', 'nm1106214', 'nm0563243', 'nm2773070', 'nm1745272', 'nm4988577']"
32,1564661,tt3359350,Road House,Road House,Road House,movie,2024,2024,0,121,"['Action', 'Drama', 'Thriller']",6.2,174208,['nm0510731'],"['nm0046524', 'nm3143168', 'nm0377792', 'nm0377088']"
33,1346997,tt5052474,Sicario: Day of the Soldado,Sicario: Day of the Soldado,Sicario: Day of the Soldado,movie,2018,2018,0,122,"['Action', 'Crime', 'Drama']",7.1,183454,['nm1356588'],['nm0792263']
34,1345653,tt2370248,Short Term 12,Short Term 12,Short Term 12,movie,2013,2013,0,96,['Drama'],7.9,94425,['nm2308774'],['nm2308774']
