id,title,year,imdb_id,tmdb_id,tmdb_type,type
1789382,Steve,2025,tt32985279,1242404,movie,movie
1823218,The Woman in Cabin 10,2025,tt7130300,1290879,movie,movie
1996393,Swim to Me,2025,tt34682204,1484640,movie,movie
11042350,"My Father, the BTK Killer",2025,tt38466379,1550785,movie,movie
1780773,28 Years Later,2025,tt10548174,1100988,movie,movie
1804101,Happy Gilmore 2,2025,tt31868189,1263256,movie,movie
1700766,The Thursday Murder Club,2025,tt12001534,744653,movie,movie
1691853,Carry-On,2024,tt21382296,1005331,movie,movie
1690558,Wallace & Gromit: Vengeance Most Fowl,2024,tt17163970,929204,movie,movie
1596405,Glass Onion: A Knives Out Mystery,2022,tt11564570,661374,movie,movie
1652190,Venom: The Last Dance,2024,tt16366836,912649,movie,movie
1521342,All Quiet on the Western Front,2022,tt1016150,49046,movie,movie
1645477,Smile,2022,tt15474916,882598,movie,movie
1617655,My Octopus Teacher,2020,tt12888462,682110,movie,movie
1616014,The Gray Man,2022,tt1649418,725201,movie,movie
1609996,The Adam Project,2022,tt2463208,696806,movie,movie
1893263,KPop Demon Hunters,2025,tt14205554,803796,movie,movie
1593604,The Sea Beast,2022,tt9288046,560057,movie,movie
1295258,Parasite,2019,tt6751668,496243,movie,movie
1611949,Hustle,2022,tt8009428,705861,movie,movie
1601276,Don't Look Up,2021,tt11286314,646380,movie,movie
1513054,The Gentlemen,2020,tt8367814,522627,movie,movie
1399319,The Irishman,2019,tt1302006,398978,movie,movie
1318351,Red Notice,2021,tt7991608,512195,movie,movie
151959,Bird Box,2018,tt2737304,405774,movie,movie
111286,A Star Is Born,2018,tt1517451,332562,movie,movie
1623694,The Electric State,2025,tt7766378,777443,movie,movie
1585238,The Platform,2019,tt8228288,619264,movie,movie
1586594,El Camino: A Breaking Bad Movie,2019,tt9243946,559969,movie,movie
1543519,Kraven the Hunter,2024,tt8790086,539972,movie,movie
1505741,Extraction,2020,tt8936646,545609,movie,movie
1496503,Downton Abbey,2019,tt6398184,535544,movie,movie
1635164,Enola Holmes 2,2022,tt14641788,829280,movie,movie
1633458,The Swimmers,2022,tt8745676,821881,movie,movie
1592516,Plane,2023,tt5884796,646389,movie,movie
1564077,Enola Holmes,2020,tt7846844,497582,movie,movie
1513834,Guillermo del Toro's Pinocchio,2022,tt1488589,555604,movie,movie
1451780,Upgrade,2018,tt6499752,500664,movie,movie
1450944,Marriage Story,2019,tt7653254,492188,movie,movie
1381145,The Boy Who Harnessed the Wind,2019,tt7533152,491480,movie,movie
1167187,Fast & Furious Presents: Hobbs & Shaw,2019,tt6806448,384018,movie,movie
1749638,The Wild Robot,2024,tt29623480,1184918,movie,movie
1688507,Nimona,2023,tt19500164,961323,movie,movie
1620488,Day Shift,2022,tt13314558,755566,movie,movie
1560906,Army of the Dead,2021,tt0993840,503736,movie,movie
1206231,Klaus,2019,tt4729430,508965,movie,movie
14313,6 Underground,2019,tt8106534,509967,movie,movie
1727264,Nonnas,2025,tt28309594,1151039,movie,movie
1631017,The Pale Blue Eye,2022,tt14138650,800815,movie,movie
1587484,The Dig,2021,tt3661210,532865,movie,movie
1583605,The Guilty,2021,tt9421570,567748,movie,movie
1578413,The Power of the Dog,2021,tt10293406,600583,movie,movie
1557334,The Old Guard,2020,tt7556122,547016,movie,movie
1496673,Murder Mystery,2019,tt1618434,514999,movie,movie
1395829,The Guernsey Literary & Potato Peel Pie Society,2018,tt1289403,451480,movie,movie
1249832,Maze Runner: The Death Cure,2018,tt4500922,336843,movie,movie
518463,The Ballad of Buster Scruggs,2018,tt6412452,537996,movie,movie
1765851,Karate Kid: Legends,2025,tt1674782,1011477,movie,movie
1652225,The Tinder Swindler,2022,tt14992922,923632,movie,movie
1638803,Beetlejuice Beetlejuice,2024,tt2049403,917496,movie,movie
1595879,Pieces of a Woman,2020,tt11161474,641662,movie,movie
1511131,Official Secrets,2019,tt5431890,393624,movie,movie
1505141,The Dirt,2019,tt0800325,327331,movie,movie
1440747,Triple Frontier,2019,tt1488606,399361,movie,movie
1400423,The King,2019,tt7984766,504949,movie,movie
1389676,Escape Room,2019,tt5886046,522681,movie,movie
196666,Den of Thieves,2018,tt1259528,449443,movie,movie
1592429,The Unforgivable,2021,tt11233960,645886,movie,movie
1579749,The Mitchells vs. the Machines,2021,tt7979580,501929,movie,movie
1529863,Blonde,2022,tt1655389,301502,movie,movie
1434903,To All the Boys I've Loved Before,2018,tt3846674,466282,movie,movie
1412967,The Two Popes,2019,tt8404614,551332,movie,movie
1681960,Purple Hearts,2022,tt4614584,762975,movie,movie
129106,Angel Has Fallen,2019,tt6189022,423204,movie,movie
11020618,Unknown Number: The High School Catfish,2025,tt37674426,1517772,movie,movie
1855149,I'm Still Here,2024,tt14961016,1000837,movie,movie
1690084,Hit Man,2024,tt20215968,974635,movie,movie
1642257,Emily the Criminal,2022,tt15255876,862965,movie,movie
1634575,The Killer,2023,tt1136617,800158,movie,movie
1627911,Damsel,2024,tt13452446,763215,movie,movie
1620799,Leave the World Behind,2023,tt12747748,726209,movie,movie
1507822,The Good Nurse,2022,tt4273800,541134,movie,movie
1497462,The Trial of the Chicago 7,2020,tt1070874,556984,movie,movie
1941803,STRAW,2025,tt32550101,1426776,movie,movie
1714971,Anyone But You,2023,tt26047818,1072790,movie,movie
1697113,Godzilla Minus One,2023,tt23289160,940721,movie,movie
1689222,Past Lives,2023,tt13238346,666277,movie,movie
1683840,Society of the Snow,2023,tt16277242,906126,movie,movie
1675091,Madame Web,2024,tt11057302,634492,movie,movie
1650984,Suzume,2022,tt16428256,916224,movie,movie
1612820,Extraction 2,2023,tt12263384,697843,movie,movie
1596981,365 Days,2020,tt10886166,664413,movie,movie
1549357,Bad Boys: Ride or Die,2024,tt4919268,573435,movie,movie
1612212,The Witcher: Nightmare of the Wolf,2021,tt11657662,666243,movie,movie
1528945,The Dead Don't Die,2019,tt8695030,535581,movie,movie
1526385,Fractured,2019,tt4332232,568091,movie,movie
1516268,The Highwaymen,2019,tt1860242,500682,movie,movie
1508026,I Am Mother,2019,tt6292852,505948,movie,movie
1507697,Midway,2019,tt6924650,522162,movie,movie
1501486,The Devil All the Time,2020,tt7395114,499932,movie,movie
1406622,The Martian,2015,tt3659388,286217,movie,movie
1400658,The Kissing Booth,2018,tt3799232,454983,movie,movie
1383967,The Cloverfield Paradox,2018,tt2548396,384521,movie,movie
1304000,Polar,2019,tt4139588,483906,movie,movie
1240560,Mad Max: Fury Road,2015,tt1392190,76341,movie,movie
1170346,Hotel Transylvania 3: Summer Vacation,2018,tt5220122,400155,movie,movie
11324,12 Strong,2018,tt1413492,429351,movie,movie
1783994,It Ends with Us,2024,tt10655524,1079091,movie,movie
1686392,Ghostbusters: Frozen Empire,2024,tt21235248,967847,movie,movie
1675233,Troll,2022,tt11116912,736526,movie,movie
1630808,Watcher,2022,tt12004038,807356,movie,movie
1619381,Army of Thieves,2021,tt13024674,796499,movie,movie
1597565,Rebel Ridge,2024,tt11301886,646097,movie,movie
1596938,Shiva Baby,2021,tt11317142,664300,movie,movie
1595378,The Social Dilemma,2020,tt11464826,656690,movie,movie
1579811,Den of Thieves 2: Pantera,2025,tt8008948,604685,movie,movie
1572988,Fear Street: 1978,2021,tt9701940,591274,movie,movie
1572987,Fear Street: 1994,2021,tt6566576,591273,movie,movie
1562924,Spenser Confidential,2020,tt8629748,581600,movie,movie
1515618,I'm Thinking of Ending Things,2020,tt7939766,500840,movie,movie
1499801,The Christmas Chronicles,2018,tt2990140,527435,movie,movie
1470305,Wish Dragon,2021,tt5562070,550205,movie,movie
1463750,We're the Millers,2013,tt1723121,138832,movie,movie
1406902,The Maze Runner,2014,tt1790864,198663,movie,movie
1396382,The Hateful Eight,2015,tt3460252,273248,movie,movie
1376730,The Amazing Spider-Man 2,2014,tt1872181,102382,movie,movie
1376729,The Amazing Spider-Man,2012,tt0948470,1930,movie,movie
1292618,Pacific Rim,2013,tt1663662,68726,movie,movie
1230481,Limitless,2011,tt1219289,51876,movie,movie
1213435,La La Land,2016,tt3783958,313369,movie,movie
1156334,Hacksaw Ridge,2016,tt2119532,324786,movie,movie
1115063,Edge of Tomorrow,2014,tt1631867,137113,movie,movie
1687853,Emilia Pérez,2024,tt20221436,974950,movie,movie
1638843,Rebel Moon - Part One: A Child of Fire,2023,tt14998742,848326,movie,movie
1612693,Transformers: Rise of the Beasts,2023,tt5090568,667538,movie,movie
1538334,"tick, tick... BOOM!",2021,tt8721424,537116,movie,movie
1530411,Beverly Hills Cop: Axel F,2024,tt3083016,280180,movie,movie
1500810,Bombshell,2019,tt6394270,525661,movie,movie
1389628,The Equalizer,2014,tt0455944,156022,movie,movie
1343902,Sherlock Holmes: A Game of Shadows,2011,tt1515091,58574,movie,movie
1291480,Outlaw King,2018,tt6679794,454227,movie,movie
1142273,Furious 7,2015,tt2820852,168259,movie,movie
1140489,Friends with Benefits,2011,tt1632708,50544,movie,movie
1132763,Fifty Shades of Grey,2015,tt2322441,216015,movie,movie
1132758,Fifty Shades Freed,2018,tt4477536,337167,movie,movie
1121250,Elysium,2013,tt1535108,68724,movie,movie
199608,Despicable Me 2,2013,tt1690953,93456,movie,movie
167064,Captain Phillips,2013,tt1535109,109424,movie,movie
1798128,The Life List,2025,tt2172954,1254786,movie,movie
1703040,Leo,2023,tt5755238,1075794,movie,movie
1634868,The Wonder,2022,tt9288822,823766,movie,movie
1615390,Spencer,2021,tt12536294,716612,movie,movie
1592164,The Mauritanian,2021,tt4761112,644583,movie,movie
1572986,Fear Street: 1666,2021,tt9701942,591275,movie,movie
1547086,Despicable Me 4,2024,tt7510222,519182,movie,movie
1438996,Train to Busan,2016,tt5700672,396535,movie,movie
1502928,Eurovision Song Contest: The Story of Fire Saga,2020,tt8580274,531454,movie,movie
1502495,"Extremely Wicked, Shockingly Evil and Vile",2019,tt2481498,457799,movie,movie
1469674,Wind River,2017,tt5362988,395834,movie,movie
1332032,San Andreas,2015,tt2126355,254128,movie,movie
1249833,Maze Runner: The Scorch Trials,2015,tt4046784,294254,movie,movie
1203401,Kick-Ass 2,2013,tt1650554,59859,movie,movie
1406149,The Man from U.N.C.L.E.,2015,tt1638355,203801,movie,movie
1169661,Horrible Bosses,2011,tt1499658,51540,movie,movie
160295,Bridesmaids,2011,tt1478338,55721,movie,movie
117923,After,2019,tt4126476,537915,movie,movie
1647875,NYAD,2023,tt5302918,895549,movie,movie
1639870,Woman of the Hour,2024,tt7737800,835113,movie,movie
