id,title,year,imdb_id,tmdb_id,tmdb_type,type
1874486,Predator: Killer of Killers,2025,tt36463894,1376434,movie,movie
1685606,Thunderbolts*,2025,tt20969586,986056,movie,movie
1508465,Snow White,2025,tt6208148,447273,movie,movie
1560295,Doctor Strange in the Multiverse of Madness,2022,tt9419884,453395,movie,movie
138018,Avatar: The Way of Water,2022,tt1630029,76600,movie,movie
1633704,Captain America: Brave New World,2025,tt14513804,822119,movie,movie
1584304,Thor: Love and Thunder,2022,tt10648342,616037,movie,movie
1491945,Black Panther: Wakanda Forever,2022,tt9114286,505642,movie,movie
1789097,Moana 2,2024,tt13622970,1241982,movie,movie
1598630,Lilo & Stitch,2025,tt11655566,552524,movie,movie
1624287,Turning Red,2022,tt8097030,508947,movie,movie
1450845,Morbius,2022,tt5108870,526896,movie,movie
1450054,Avengers: Endgame,2019,tt4154796,299534,movie,movie
138100,Avengers: Infinity War,2018,tt4154756,299536,movie,movie
1494176,Deadpool & Wolverine,2024,tt6263850,533535,movie,movie
1455450,Venom,2018,tt1270797,335983,movie,movie
1359294,Star Wars: The Rise of Skywalker,2019,tt2527338,181812,movie,movie
1357314,Spider-Man: Far From Home,2019,tt6320628,429617,movie,movie
194188,Deadpool 2,2018,tt5463162,383498,movie,movie
167043,Captain Marvel,2019,tt4154664,299537,movie,movie
153257,Black Panther,2018,tt1825683,284054,movie,movie
1704323,The Amateur,2025,tt0899043,1087891,movie,movie
1608765,Lightyear,2022,tt10298810,718789,movie,movie
1534152,Free Guy,2021,tt6264654,550988,movie,movie
1526288,Soul,2020,tt2948372,508442,movie,movie
1567837,Shang-Chi and the Legend of the Ten Rings,2021,tt9376612,566525,movie,movie
1501613,Black Widow,2021,tt3480822,497698,movie,movie
1490260,Eternals,2021,tt9032400,524434,movie,movie
1353638,Solo: A Star Wars Story,2018,tt3778644,348350,movie,movie
1182575,Incredibles 2,2018,tt3606756,260513,movie,movie
130818,Ant-Man and the Wasp,2018,tt5095030,363088,movie,movie
1621209,Mufasa: The Lion King,2024,tt13186482,762509,movie,movie
1618750,Encanto,2021,tt2953050,568124,movie,movie
1510060,Cruella,2021,tt3228774,337404,movie,movie
1139767,Free Solo,2018,tt7775622,515042,movie,movie
1438469,Toy Story 4,2019,tt1979376,301528,movie,movie
1403456,The Lion King,2019,tt6105098,420818,movie,movie
120878,Aladdin,2019,tt6139732,420817,movie,movie
1692869,Inside Out 2,2024,tt22022452,1022789,movie,movie
1513834,Guillermo del Toro's Pinocchio,2022,tt1488589,555604,movie,movie
1617157,Luca,2021,tt12801262,508943,movie,movie
1537381,The Art of Racing in the Rain,2019,tt1478839,522924,movie,movie
1543522,Spider-Man: Across the Spider-Verse,2023,tt9362722,569094,movie,movie
1472956,Dark Phoenix,2019,tt6565702,320288,movie,movie
1315562,Ralph Breaks the Internet,2018,tt5848272,404368,movie,movie
1195601,Jungle Cruise,2021,tt0870154,451048,movie,movie
1186782,Isle of Dogs,2018,tt5104604,399174,movie,movie
1141232,Frozen II,2019,tt4520988,330457,movie,movie
1527624,Onward,2020,tt7146812,508439,movie,movie
1451009,Raya and the Last Dragon,2021,tt5109280,527774,movie,movie
1154250,Guardians of the Galaxy Vol. 3,2023,tt6791350,447365,movie,movie
1263405,Mulan,2020,tt4566758,337401,movie,movie
1592256,Ant-Man and the Wasp: Quantumania,2023,tt10954600,640146,movie,movie
1547502,Hamilton,2020,tt8503618,556574,movie,movie
1450589,Indiana Jones and the Dial of Destiny,2023,tt1462764,335977,movie,movie
1243529,Maleficent: Mistress of Evil,2019,tt4777008,420809,movie,movie
1692904,Elio,2025,tt4900148,1022787,movie,movie
1683575,Elemental,2023,tt15789038,976573,movie,movie
1521565,The Little Mermaid,2023,tt5971474,447277,movie,movie
1511189,West Side Story,2021,tt3581652,511809,movie,movie
1325730,Ron's Gone Wrong,2021,tt7504818,482321,movie,movie
1431644,Thor,2011,tt0800369,10195,movie,movie
1377874,The Avengers,2012,tt0848228,24428,movie,movie
1359306,Star Wars: The Force Awakens,2015,tt2488496,140607,movie,movie
1232710,Logan,2017,tt3315342,263115,movie,movie
1186054,Iron Man 3,2013,tt1300854,68721,movie,movie
1184041,Inside Out,2015,tt2096673,150540,movie,movie
1154248,Guardians of the Galaxy,2014,tt2015381,118340,movie,movie
194187,Deadpool,2016,tt1431045,293660,movie,movie
166941,Captain America: The Winter Soldier,2014,tt1843866,100402,movie,movie
166940,Captain America: The First Avenger,2011,tt0458339,1771,movie,movie
166939,Captain America: Civil War,2016,tt3498820,271110,movie,movie
138099,Avengers: Age of Ultron,2015,tt2395427,99861,movie,movie
1588000,The Marvels,2023,tt10676048,609681,movie,movie
178503,Coco,2017,tt2380307,354912,movie,movie
1481113,Zootopia,2016,tt2948356,269149,movie,movie
1472957,X-Men: Days of Future Past,2014,tt1877832,127585,movie,movie
1472955,X-Men: Apocalypse,2016,tt3385516,246655,movie,movie
1472418,Wreck-It Ralph,2012,tt1772341,82690,movie,movie
1431651,Thor: The Dark World,2013,tt1981115,76338,movie,movie
1431650,Thor: Ragnarok,2017,tt3501632,284053,movie,movie
