id,title,year,imdb_id,tmdb_id,tmdb_type,type
1874486,Predator: Killer of Killers,2025,tt36463894,1376434,movie,movie
1615420,Bullet Train,2022,tt12593682,718930,movie,movie
1583908,The Menu,2022,tt9764362,593643,movie,movie
1515072,Uncharted,2022,tt1464335,335787,movie,movie
1650358,Barbarian,2022,tt15791034,913290,movie,movie
1623260,Prey,2022,tt11866324,766507,movie,movie
1649223,Missing,2023,tt10855768,768362,movie,movie
1620896,A Man Called Otto,2022,tt7405458,937278,movie,movie
1568066,Triangle of Sadness,2022,tt7322224,497828,movie,movie
194978,Death on the Nile,2022,tt7657566,505026,movie,movie
1620816,The Lost City,2022,tt13320622,752623,movie,movie
1607086,Scream,2022,tt11245972,646385,movie,movie
1695454,A Real Pain,2024,tt21823606,1013850,movie,movie
1607052,Where the Crawdads Sing,2022,tt9411972,682507,movie,movie
1596439,A Complete Unknown,2024,tt11563598,661539,movie,movie
1137596,Ford v Ferrari,2019,tt1950186,359724,movie,movie
1709096,The Monkey,2025,tt27714946,1124620,movie,movie
1704323,The Amateur,2025,tt0899043,1087891,movie,movie
1452255,Us,2019,tt6857112,458723,movie,movie
1193410,John Wick: Chapter 3 - Parabellum,2019,tt6146586,458156,movie,movie
1616827,Sonic the Hedgehog 2,2022,tt12412888,675353,movie,movie
1515637,A Quiet Place Part II,2021,tt8332922,520763,movie,movie
1139767,Free Solo,2018,tt7775622,515042,movie,movie
122224,Alita: Battle Angel,2019,tt0437086,399579,movie,movie
1824277,Anora,2024,tt28607951,1064213,movie,movie
1685795,Sisu,2022,tt14846026,840326,movie,movie
1678919,Alien: Romulus,2024,tt18412256,945961,movie,movie
1617958,Operation Fortune: Ruse de Guerre,2023,tt7985704,739405,movie,movie
1599569,Amsterdam,2022,tt10304142,664469,movie,movie
1590821,Wrath of Man,2021,tt11083552,637649,movie,movie
1703651,Longlegs,2024,tt23468450,1226578,movie,movie
1634185,"Good Luck to You, Leo Grande",2022,tt13352968,758330,movie,movie
1586499,Another Round,2020,tt10288566,580175,movie,movie
1582601,Palm Springs,2020,tt9484998,587792,movie,movie
1559109,Ready or Not,2019,tt7798634,567609,movie,movie
1500837,The King's Man,2021,tt6856242,476669,movie,movie
1106882,Doctor Sleep,2019,tt5606664,501170,movie,movie
1425554,The Upside,2019,tt1987680,440472,movie,movie
1407015,The Meg,2018,tt4779682,345940,movie,movie
1472956,Dark Phoenix,2019,tt6565702,320288,movie,movie
1632764,Poor Things,2023,tt14230458,792307,movie,movie
1625789,Fresh,2022,tt13403046,787752,movie,movie
1615842,The Woman King,2022,tt8093700,724495,movie,movie
1579870,John Wick: Chapter 4,2023,tt10366206,603692,movie,movie
1620762,Living,2022,tt9051908,760099,movie,movie
1413220,The Predator,2018,tt3829266,346910,movie,movie
1157199,Halloween,2018,tt1502407,424139,movie,movie
1807525,Trap,2024,tt26753003,1032823,movie,movie
1685813,Late Night with the Devil,2024,tt14966898,938614,movie,movie
1587823,Deep Water,2022,tt2180339,619979,movie,movie
1691476,BlackBerry,2023,tt21867434,1016084,movie,movie
1649174,No Hard Feelings,2023,tt15671028,884605,movie,movie
1624317,Decision to Leave,2022,tt12477480,705996,movie,movie
1623689,See How They Run,2022,tt13640696,766475,movie,movie
1608538,The Creator,2023,tt11858890,670292,movie,movie
1512556,Run,2020,tt8633478,546121,movie,movie
1679684,Anatomy of a Fall,2023,tt17009710,915935,movie,movie
1615221,Evil Dead Rise,2023,tt13345606,713704,movie,movie
1448402,Underwater,2020,tt5774060,443791,movie,movie
1397755,The House That Jack Built,2018,tt4003440,398173,movie,movie
1162637,Hellboy,2019,tt2274648,456740,movie,movie
110972,A Simple Favor,2018,tt7040874,484247,movie,movie
1681576,The Equalizer 3,2023,tt17024450,926393,movie,movie
1472957,X-Men: Days of Future Past,2014,tt1877832,127585,movie,movie
1472159,World War Z,2013,tt0816711,72190,movie,movie
1309360,Prometheus,2012,tt1446714,70981,movie,movie
1205327,Kingsman: The Secret Service,2015,tt2802144,207703,movie,movie
1193411,John Wick: Chapter 2,2017,tt4425200,324552,movie,movie
1193409,John Wick,2014,tt2911666,245891,movie,movie
1695306,A Haunting in Venice,2023,tt22687790,945729,movie,movie
1687028,Gran Turismo,2023,tt4495098,980489,movie,movie
158310,Boss Level,2021,tt7638348,513310,movie,movie
1418000,The Secret Life of Walter Mitty,2013,tt0359950,116745,movie,movie
1382182,The Cabin in the Woods,2012,tt1259521,22970,movie,movie
165399,Call Me by Your Name,2017,tt5726616,398818,movie,movie
122082,Alien: Covenant,2017,tt2316204,126889,movie,movie
1579103,Spiral: From the Book of Saw,2021,tt10342730,602734,movie,movie
1534422,Monster Hunter,2020,tt6475714,458576,movie,movie
1323046,Rio,2011,tt1436562,46195,movie,movie
1170344,Hotel Transylvania,2012,tt0837562,76492,movie,movie
1424747,The Twilight Saga: Breaking Dawn - Part 2,2012,tt1673434,50620,movie,movie
1424746,The Twilight Saga: Breaking Dawn - Part 1,2011,tt1324999,50619,movie,movie
1377978,The Babadook,2014,tt2321549,242224,movie,movie
1369865,Taken 2,2012,tt1397280,82675,movie,movie
1348986,Sinister,2012,tt1922777,82507,movie,movie
158934,Boyhood,2014,tt1065073,85350,movie,movie
1700493,Memoir of a Snail,2024,tt23770030,1064486,movie,movie
1686691,The Pope's Exorcist,2023,tt13375076,758323,movie,movie
1618201,65,2023,tt12261776,700391,movie,movie
1583831,Meg 2: The Trench,2023,tt9224104,615656,movie,movie
1409759,The Nightingale,2018,tt4068576,400090,movie,movie
