id,title,year,imdb_id,tmdb_id,tmdb_type,type
1703330,Superman,2025,tt5950044,1061474,movie,movie
1783110,Sinners,2025,tt31193180,1233413,movie,movie
1532981,The Batman,2022,tt1877830,414906,movie,movie
1718402,Heretic,2024,tt28015403,1138194,movie,movie
1653388,Mickey 17,2025,tt12299608,696506,movie,movie
1615420,Bullet Train,2022,tt12593682,718930,movie,movie
1567833,Final Destination Bloodlines,2025,tt9619824,574475,movie,movie
1890462,Companion,2025,tt26584495,1084199,movie,movie
1687959,A Minecraft Movie,2025,tt3566834,950387,movie,movie
1504520,Black Adam,2022,tt6443346,436270,movie,movie
1874779,Juror #2,2024,tt27403986,1106739,movie,movie
1727260,Bring Her Back,2025,tt32246771,1151031,movie,movie
1628357,The Whale,2022,tt13833688,785084,movie,movie
1624514,X,2022,tt13560574,760104,movie,movie
1529898,The Brutalist,2024,tt8999762,549509,movie,movie
1496273,Dune,2021,tt1160419,438631,movie,movie
1295258,Parasite,2019,tt6751668,496243,movie,movie
1193690,Joker,2019,tt7286456,475557,movie,movie
1129886,Fantastic Beasts: The Secrets of Dumbledore,2022,tt4123432,338953,movie,movie
1679202,Pearl,2022,tt18925334,949423,movie,movie
1644435,Dune: Part Two,2024,tt15239678,693134,movie,movie
1607052,Where the Crawdads Sing,2022,tt9411972,682507,movie,movie
132421,Aquaman,2018,tt1477834,297802,movie,movie
1788689,Warfare,2025,tt31434639,1241436,movie,movie
1674882,The Substance,2024,tt17526714,933260,movie,movie
1612493,Zack Snyder's Justice League,2021,tt12361974,791373,movie,movie
1496510,The Suicide Squad,2021,tt6334354,436969,movie,movie
1484247,Midsommar,2019,tt8772262,530385,movie,movie
1343132,Shazam!,2019,tt0448115,287947,movie,movie
1163858,Hereditary,2018,tt7784604,493922,movie,movie
1855746,Babygirl,2024,tt30057084,1097549,movie,movie
1625605,Furiosa: A Mad Max Saga,2024,tt12037194,786892,movie,movie
1518160,Uncut Gems,2019,tt5727208,473033,movie,movie
1471731,Wonder Woman 1984,2020,tt7126948,464052,movie,movie
1187767,It Chapter Two,2019,tt7349950,474350,movie,movie
1129889,Fantastic Beasts: The Crimes of Grindelwald,2018,tt4123430,338952,movie,movie
1674798,Civil War,2024,tt17279496,929590,movie,movie
1403325,The Lighthouse,2019,tt7984734,503919,movie,movie
1494390,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,tt7713068,495764,movie,movie
1150103,Godzilla: King of the Monsters,2019,tt3741700,373571,movie,movie
1710711,We Live in Time,2024,tt27131358,1100099,movie,movie
1559743,Mortal Kombat,2021,tt0293429,460465,movie,movie
143379,Barbie,2023,tt1517268,346698,movie,movie
1410023,The Nun,2018,tt5814060,439079,movie,movie
1615842,The Woman King,2022,tt8093700,724495,movie,movie
1596532,Joker: Folie à Deux,2024,tt11315808,889737,movie,movie
1495244,The Conjuring: The Devil Made Me Do It,2021,tt7069210,423108,movie,movie
1807525,Trap,2024,tt26753003,1032823,movie,movie
1643030,Marcel the Shell with Shoes On,2022,tt15339456,869626,movie,movie
1638803,Beetlejuice Beetlejuice,2024,tt2049403,917496,movie,movie
1561438,DC League of Super-Pets,2022,tt8912936,539681,movie,movie
1550362,Greenland,2020,tt7737786,524047,movie,movie
1672290,Justice League: The Flashpoint Paradox,2013,tt2820466,183011,movie,movie
1503016,Portrait of a Lady on Fire,2019,tt8613070,531428,movie,movie
1451299,The Flash,2023,tt0439572,298618,movie,movie
