id,title,year,imdb_id,tmdb_id,tmdb_type,type
11001921,John Candy: I Like Me,2025,tt26683420,1492608,movie,movie
1882904,Maintenance Required,2025,tt33335602,1352755,movie,movie
1535445,Gladiator II,2024,tt9218128,558449,movie,movie
1532981,The Batman,2022,tt1877830,414906,movie,movie
1498670,Nosferatu,2024,tt5040012,426063,movie,movie
1856743,Conclave,2024,tt20215234,974576,movie,movie
1856741,Better Man,2024,tt14260836,799766,movie,movie
1588223,The Accountant²,2025,tt7068946,870028,movie,movie
1468618,Wicked,2024,tt1262426,402431,movie,movie
1644519,Red One,2024,tt14948432,845781,movie,movie
1515072,Uncharted,2022,tt1464335,335787,movie,movie
1450845,Morbius,2022,tt5108870,526896,movie,movie
1620941,Heads of State,2025,tt13357520,749170,movie,movie
1616694,Transformers One,2024,tt8864596,698687,movie,movie
1487859,Knives Out,2019,tt8946378,546554,movie,movie
157269,No Time to Die,2021,tt2382320,370172,movie,movie
1884650,Novocaine,2025,tt29603959,1195506,movie,movie
1688039,Sonic the Hedgehog 3,2024,tt18259086,939243,movie,movie
11035495,SAQUON,2025,tt38119836,1540867,movie,movie
1143678,Game Night,2018,tt2704998,445571,movie,movie
1783225,Black Bag,2025,tt30988739,1233575,movie,movie
1758068,A Working Man,2025,tt9150192,1197306,movie,movie
1679996,The Fall Guy,2024,tt1684562,746036,movie,movie
1590821,Wrath of Man,2021,tt11083552,637649,movie,movie
1583797,The Tomorrow War,2021,tt9777666,588228,movie,movie
1586499,Another Round,2020,tt10288566,580175,movie,movie
1133049,Fighting with My Family,2019,tt6513120,445629,movie,movie
1695859,Twisters,2024,tt12584954,718821,movie,movie
1676852,The Beekeeper,2024,tt15314262,866398,movie,movie
1675817,Challengers,2024,tt16426418,937287,movie,movie
1623632,Terrifier 2,2022,tt10403420,663712,movie,movie
1617949,Borat Subsequent Moviefilm,2020,tt13143964,740985,movie,movie
1564661,Road House,2024,tt3359350,359410,movie,movie
1346997,Sicario: Day of the Soldado,2018,tt5052474,400535,movie,movie
1345653,Short Term 12,2013,tt2370248,169813,movie,movie
1787159,Deep Cover,2025,tt31121295,1239193,movie,movie
1684871,Play Dirty,2025,tt18392014,941109,movie,movie
1639246,Thirteen Lives,2022,tt12262116,698948,movie,movie
1636699,A Quiet Place: Day One,2024,tt13433802,762441,movie,movie
1566627,Mission: Impossible - Dead Reckoning Part One,2023,tt9603212,575264,movie,movie
1546856,The Super Mario Bros. Movie,2023,tt6718170,502356,movie,movie
1597047,Kingdom of the Planet of the Apes,2024,tt11389872,653346,movie,movie
1423778,The Report,2019,tt8236336,524348,movie,movie
1870910,Smile 2,2024,tt29268110,1100782,movie,movie
1767720,September 5,2024,tt28082769,1211472,movie,movie
1653853,Saltburn,2023,tt17351924,930564,movie,movie
1384418,The Commuter,2018,tt1590193,399035,movie,movie
